speaker	conversation	total	english	spanish	um	yeah	like	pues	eso
JAM	herring17.cha	3573	0	0	30	21	81	1	13
IRI	herring17.cha	2213	0	0	5	45	9	5	50
MAR	maria1.cha	1509	0	0	1	2	9	2	6
OSE	maria1.cha	130	0	0	0	0	0	0	0
MAR	maria2.cha	144	0	0	0	0	0	0	0
OSE	maria2.cha	28	0	0	0	0	0	0	0
OSE	maria4.cha	153	0	0	0	0	0	0	0
MAR	maria4.cha	1586	0	0	7	8	15	0	2
MAR	maria7.cha	634	0	0	3	0	1	0	1
OSE	maria7.cha	6	0	0	0	0	0	0	0
MAR	maria40.cha	6370	0	0	3	12	12	8	19
OSE	maria40.cha	1016	0	0	0	0	0	0	0
MAR	maria10.cha	1865	0	0	4	1	8	0	0
OSE	maria10.cha	78	0	0	0	0	0	0	0
OSE	maria16.cha	360	0	0	0	0	0	0	0
MAR	maria16.cha	2680	0	0	11	13	20	2	2
OSE	maria18.cha	434	0	0	0	1	0	0	0
MAR	maria18.cha	3630	0	0	15	24	14	0	1
MAR	maria19.cha	2366	0	0	8	9	16	0	5
OSE	maria19.cha	305	0	0	0	0	0	0	0
MAR	maria20.cha	1408	0	0	4	3	8	0	1
OSE	maria20.cha	125	0	0	0	0	0	0	0
MAR	maria21.cha	738	0	0	0	0	0	1	5
OSE	maria21.cha	1	0	0	0	0	0	0	0
MAR	maria24.cha	3074	0	0	7	8	11	0	3
OSE	maria24.cha	258	0	0	0	0	0	0	0
MAR	maria27.cha	3930	0	0	6	14	12	0	2
OSE	maria27.cha	358	0	0	0	0	0	0	0
MAR	maria30.cha	3916	0	0	25	15	26	0	0
OSE	maria30.cha	258	0	0	0	0	0	0	0
MAR	maria31.cha	2701	0	0	6	7	19	3	6
OSE	maria31.cha	278	0	0	0	1	0	0	0
KEV	sastre1.cha	3516	0	0	28	43	6	1	20
SOF	sastre1.cha	2663	0	0	5	26	19	0	8
LUI	sastre2.cha	2410	0	0	0	30	6	4	14
AVA	sastre2.cha	4781	0	0	1	0	0	16	36
OLI	sastre3.cha	2547	0	0	9	13	11	2	14
LAN	sastre3.cha	507	0	0	1	1	1	0	5
MAS	sastre3.cha	3004	0	0	12	14	10	6	18
EMI	sastre4.cha	2848	0	0	1	56	42	0	7
GIA	sastre4.cha	2561	0	0	2	36	56	0	0
LIL	sastre5.cha	2396	0	0	3	13	4	6	18
VIC	sastre5.cha	1788	0	0	1	0	0	1	14
OSE	sastre5.cha	184	0	0	0	0	0	0	0
AAR	sastre6.cha	3806	0	0	59	39	37	0	3
ALY	sastre6.cha	1199	0	0	4	14	8	0	0
OSE	sastre6.cha	45	0	0	0	0	0	0	0
JAD	sastre7.cha	2361	0	0	7	40	69	0	0
JUL	sastre7.cha	2123	0	0	11	37	46	0	1
OSE	sastre7.cha	1	0	0	0	0	0	0	0
AUD	sastre8.cha	3434	0	0	2	19	13	0	9
PAO	sastre8.cha	2255	0	0	25	45	18	0	4
KAY	sastre9.cha	4455	0	0	3	38	28	1	13
VAL	sastre9.cha	4051	0	0	6	88	13	1	12
JEN	sastre10.cha	5096	0	0	9	80	65	0	6
JOC	sastre10.cha	3425	0	0	3	50	40	0	0
OSE	sastre10.cha	37	0	0	0	0	0	0	0
DIE	sastre11.cha	5043	0	0	0	25	57	0	10
EVE	sastre11.cha	1678	0	0	2	12	0	1	20
MAD	sastre12.cha	3428	0	0	19	41	62	1	1
SAM	sastre12.cha	3087	0	0	12	68	54	0	2
COL	sastre13.cha	4400	0	0	27	62	321	0	0
ELI	sastre13.cha	2408	0	0	6	102	168	0	0
OSE	sastre13.cha	2	0	0	0	0	0	0	0
AME	zeledon1.cha	2279	0	0	1	4	15	0	8
CAR	zeledon1.cha	4521	0	0	15	3	16	6	20
MAT	zeledon2.cha	2152	0	0	17	108	77	0	0
REB	zeledon2.cha	2999	0	0	29	36	72	0	0
FEL	zeledon3.cha	1728	0	0	19	40	48	0	1
ELE	zeledon3.cha	2642	0	0	26	37	60	0	0
HEN	zeledon4.cha	1817	0	0	6	8	8	0	22
ETH	zeledon4.cha	2266	0	0	10	27	14	4	12
MAY	zeledon5.cha	1693	0	0	1	9	12	2	9
ISA	zeledon5.cha	2454	0	0	0	20	5	5	10
ABI	zeledon6.cha	3964	0	0	39	38	94	0	2
ELL	zeledon6.cha	2134	0	0	4	35	48	0	3
NAT	zeledon7.cha	1452	0	0	0	8	0	7	10
JAS	zeledon7.cha	2538	0	0	9	6	10	12	13
OSE	zeledon7.cha	11	0	0	0	0	0	0	0
MAR	zeledon8.cha	3749	0	0	46	57	12	1	4
FLA	zeledon8.cha	3162	0	0	19	13	23	2	15
OSE	zeledon8.cha	12	0	0	0	0	0	0	0
GIL	zeledon9.cha	2362	0	0	29	37	67	0	1
CHA	zeledon9.cha	2042	0	0	15	5	10	1	1
ANT	zeledon11.cha	2762	0	0	42	33	45	0	0
SEA	zeledon11.cha	3048	0	0	21	63	177	0	0
OSE	zeledon11.cha	7	0	0	0	0	0	0	0
ARI	zeledon13.cha	4483	0	0	18	53	163	0	0
AVE	zeledon13.cha	3170	0	0	10	49	268	0	0
OSE	zeledon13.cha	33	0	0	0	0	0	0	0
HER	zeledon14.cha	4142	0	0	0	2	5	3	18
LAR	zeledon14.cha	2568	0	0	0	4	8	1	9
