speaker	conversation	total	english	spanish	um	uh	em	eh	am	ah
MAR	maria30.cha	3916	0	0	14	11	2	0	0	3
OSE	maria30.cha	258	0	0	0	0	0	0	0	0
MAR	maria31.cha	2701	0	0	0	0	0	0	0	7
OSE	maria31.cha	278	0	0	0	0	0	0	0	0
KEV	sastre1.cha	3516	0	0	1	1	0	0	0	6
SOF	sastre1.cha	2663	0	0	0	0	0	0	0	5
LUI	sastre2.cha	2410	0	0	0	0	0	0	0	6
AVA	sastre2.cha	4781	0	0	1	0	0	0	0	14
OLI	sastre3.cha	2547	0	0	8	1	0	0	0	6
LAN	sastre3.cha	507	0	0	1	0	0	0	0	5
MAS	sastre3.cha	3004	0	0	10	1	0	0	0	10
EMI	sastre4.cha	2848	0	0	1	0	0	0	0	5
GIA	sastre4.cha	2561	0	0	2	0	0	0	0	1
LIL	sastre5.cha	2396	0	0	3	0	0	0	0	11
VIC	sastre5.cha	1788	0	0	0	1	0	0	0	10
OSE	sastre5.cha	184	0	0	0	0	0	0	0	0
AAR	sastre6.cha	3806	0	0	28	31	0	0	0	16
ALY	sastre6.cha	1199	0	0	1	1	0	0	0	1
OSE	sastre6.cha	45	0	0	0	0	0	0	0	0
JAD	sastre7.cha	2361	0	0	7	0	0	0	0	7
JUL	sastre7.cha	2123	0	0	10	1	0	0	0	3
OSE	sastre7.cha	1	0	0	0	0	0	0	0	0
AUD	sastre8.cha	3434	0	0	1	1	0	0	0	8
PAO	sastre8.cha	2255	0	0	22	3	4	0	0	6
KAY	sastre9.cha	4455	0	0	0	0	0	0	0	1
VAL	sastre9.cha	4051	0	0	1	0	0	0	0	1
JEN	sastre10.cha	5096	0	0	7	0	0	0	0	4
JOC	sastre10.cha	3425	0	0	1	2	0	0	0	6
OSE	sastre10.cha	37	0	0	0	0	0	0	0	0
DIE	sastre11.cha	5043	0	0	0	0	0	0	0	3
EVE	sastre11.cha	1678	0	0	1	0	0	0	0	5
MAD	sastre12.cha	3428	0	0	13	1	0	0	0	1
SAM	sastre12.cha	3087	0	0	7	0	0	0	0	2
COL	sastre13.cha	4400	0	0	13	13	0	0	3	5
ELI	sastre13.cha	2408	0	0	5	1	0	0	0	2
OSE	sastre13.cha	2	0	0	0	0	0	0	0	0
AME	zeledon1.cha	2279	0	0	0	1	0	0	0	5
CAR	zeledon1.cha	4521	0	0	8	6	0	0	0	3
MAT	zeledon2.cha	2152	0	0	16	0	0	0	0	1
REB	zeledon2.cha	2999	0	0	26	2	0	0	1	0
FEL	zeledon3.cha	1728	0	0	15	4	1	0	1	1
ELE	zeledon3.cha	2642	0	0	14	12	0	0	0	6
HEN	zeledon4.cha	1817	0	0	0	4	0	0	0	11
ETH	zeledon4.cha	2266	0	0	0	0	0	0	0	5
MAY	zeledon5.cha	1693	0	0	1	0	0	0	0	4
ISA	zeledon5.cha	2454	0	0	0	0	0	0	0	1
ABI	zeledon6.cha	3964	0	0	37	0	0	0	0	4
ELL	zeledon6.cha	2134	0	0	2	1	1	0	0	6
NAT	zeledon7.cha	1452	0	0	0	0	0	0	0	3
JAS	zeledon7.cha	2538	0	0	2	4	0	0	0	8
OSE	zeledon7.cha	11	0	0	0	0	0	0	0	0
MAR	zeledon8.cha	3749	0	0	10	1	1	0	1	1
FLA	zeledon8.cha	3162	0	0	11	2	0	0	1	15
OSE	zeledon8.cha	12	0	0	0	0	0	0	0	0
GIL	zeledon9.cha	2362	0	0	27	2	0	0	0	2
CHA	zeledon9.cha	2042	0	0	11	4	0	0	0	2
ANT	zeledon11.cha	2762	0	0	34	8	0	0	0	2
SEA	zeledon11.cha	3048	0	0	12	9	0	0	2	5
OSE	zeledon11.cha	7	0	0	0	0	0	0	0	0
ARI	zeledon13.cha	4483	0	0	18	0	0	0	0	0
AVE	zeledon13.cha	3170	0	0	9	1	0	0	0	2
OSE	zeledon13.cha	33	0	0	0	0	0	0	0	0
HER	zeledon14.cha	4142	0	0	0	0	0	0	0	7
LAR	zeledon14.cha	2568	0	0	0	0	0	0	0	10
